instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_norm,atemp_norm,hum_norm,windspeed_norm
123,2011-05-03,Musim Semi,2011,Mei,Tak Libur,Selasa,Kerja,Berkabut,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0.694717972987151,0.6602677460376799,0.7167948586118251,0.6602643776286085
124,2011-05-04,Musim Semi,2011,Mei,Tak Libur,Rabu,Kerja,Berkabut,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0.4423930322928575,0.42736822982243716,0.7579259640102828,0.6320808920255642
125,2011-05-05,Musim Semi,2011,Mei,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.459167,0.441917,0.444167,0.295392,614,3819,4433,0.4984652413360338,0.47628619853551935,0.4567269922879177,0.5628044784344075
126,2011-05-06,Musim Semi,2011,Mei,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.479167,0.474117,0.59,0.228246,894,3714,4608,0.523386223133001,0.5185530456807482,0.6066838046272492,0.4243794675133326
127,2011-05-07,Musim Semi,2011,Mei,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.52,0.512621,0.54125,0.16045,1612,3102,4714,0.5742661456187793,0.5690947438944095,0.5565552699228792,0.2846144474018562
128,2011-05-08,Musim Semi,2011,Mei,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,0.5846494726844857,0.5773800960428779,0.6495290488431876,0.1077074648613513
129,2011-05-09,Musim Semi,2011,Mei,Tak Libur,Senin,Kerja,Sedikit Berawan,0.5325,0.525246,0.58875,0.176,664,3698,4362,0.5898417592418838,0.5856667608263509,0.6053984575835475,0.31667159034146114
130,2011-05-10,Musim Semi,2011,Mei,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.5325,0.522721,0.489167,0.115671,694,4109,4803,0.5898417592418838,0.5823523574399626,0.5029994858611825,0.192300183498797
131,2011-05-11,Musim Semi,2011,Mei,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.5425,0.5284,0.632917,0.120642,550,3632,4182,0.6023022501403674,0.5898068116305761,0.6508143958868894,0.20254816147646748
132,2011-05-12,Musim Semi,2011,Mei,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.535,0.523363,0.7475,0.189667,695,4169,4864,0.5929568819665048,0.5831950691128582,0.7686375321336761,0.344846829734103
133,2011-05-13,Musim Semi,2011,Mei,Tak Libur,Jumat,Kerja,Berkabut,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0.5649207774449164,0.5450459579767779,0.8877460154241645,0.32435087377876204
134,2011-05-14,Musim Semi,2011,Mei,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0.575304104510623,0.5533536249203229,0.948586118251928,0.23204485608610526
135,2011-05-15,Musim Semi,2011,Mei,Tak Libur,Minggu,Tak Kerja,Berkabut,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0.6272232319373346,0.5997828376648537,0.8916020565552699,0.2692125879226415
136,2011-05-16,Musim Semi,2011,Mei,Tak Libur,Senin,Kerja,Sedikit Berawan,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0.6459139682850602,0.618831796850306,0.8101974293059125,0.21538957262571506
137,2011-05-17,Musim Semi,2011,Mei,Tak Libur,Selasa,Kerja,Berkabut,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0.626185273045491,0.6031024915912602,0.8616113110539846,0.5256181926244657
138,2011-05-18,Musim Semi,2011,Mei,Tak Libur,Rabu,Kerja,Berkabut,0.55,0.527158,0.87,0.201492,536,3319,3855,0.6116476183142302,0.5881765189549745,0.8946015424164524,0.3692246892364071
139,2011-05-19,Musim Semi,2011,Mei,Tak Libur,Kamis,Kerja,Berkabut,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0.5877645954091065,0.5666283027209348,0.8530416452442159,0.17692512420339032
140,2011-05-20,Musim Semi,2011,Mei,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.536667,0.529042,0.719583,0.125013,909,4008,4917,0.5950340457992819,0.5906495233034716,0.7399311053984575,0.21155920789376742
141,2011-05-21,Musim Semi,2011,Mei,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,0.6770651955312693,0.6470048819521087,0.6443876606683804,0.2025646538972724
142,2011-05-22,Musim Semi,2011,Mei,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,0.6791423593640464,0.650319285338497,0.7707794344473007,0.258964609944971
143,2011-05-23,Musim Semi,2011,Mei,Tak Libur,Senin,Kerja,Berkabut,0.631667,0.590296,0.81,0.233842,836,3438,4274,0.7134087093348764,0.6710536678697404,0.8329048843187661,0.4359159158663891
144,2011-05-24,Musim Semi,2011,Mei,Tak Libur,Selasa,Kerja,Berkabut,0.66,0.604813,0.740833,0.207092,659,3833,4492,0.7487130181975502,0.6901091902302151,0.761782005141388,0.38076938379986613
145,2011-05-25,Musim Semi,2011,Mei,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.660833,0.615542,0.69625,0.154233,740,4238,4978,0.7497509770893938,0.7041924511936052,0.7159383033419023,0.27179777488381607
146,2011-05-26,Musim Semi,2011,Mei,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.708333,0.654688,0.6775,0.199642,758,3919,4677,0.8089383088571911,0.7555768610801621,0.6966580976863753,0.3654108169252644
147,2011-05-27,Musim Semi,2011,Mei,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.681667,0.637008,0.65375,0.240679,871,3808,4679,0.7757111638272947,0.7323694742004214,0.6722365038560412,0.45001075099681226
148,2011-05-28,Musim Semi,2011,Mei,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,0.743520731640152,0.7000405866743393,0.7502138817480719,0.4281850936140728
149,2011-05-29,Musim Semi,2011,Mei,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,0.7580583863714129,0.7042029522736413,0.8419023136246786,0.3948827729036948
150,2011-05-30,Musim Semi,2011,Mei,Libur,Senin,Tak Kerja,Sedikit Berawan,0.733333,0.671092,0.685,0.131225,1549,2549,4098,0.8400895361034002,0.7771093256941476,0.7043701799485861,0.2243655726488044
151,2011-05-31,Musim Semi,2011,Mei,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.775,0.725383,0.636667,0.111329,673,3309,3982,0.8920086635301119,0.8483735927240116,0.6546704370179948,0.183348922106915
152,2011-06-01,Musim Semi,2011,Juni,Tak Libur,Rabu,Kerja,Berkabut,0.764167,0.720967,0.677083,0.207092,513,3461,3974,0.8785102137397847,0.8425769965440945,0.6962293059125964,0.38076938379986613
153,2011-06-02,Musim Semi,2011,Juni,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.715,0.643942,0.305,0.292287,736,4232,4968,0.8172457181392101,0.7414712853216953,0.31362467866323906,0.5564033576094897
154,2011-06-03,Musim Semi,2011,Juni,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.62,0.587133,0.354167,0.253121,898,4414,5312,0.6988710546036155,0.6669018033504746,0.36418200514138815,0.47566058845369746
155,2011-06-04,Musim Semi,2011,Juni,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.635,0.594696,0.45625,0.123142,1869,3473,5342,0.7175617909513411,0.6768292618895853,0.4691516709511568,0.2077020429780117
156,2011-06-05,Musim Semi,2011,Juni,Tak Libur,Minggu,Tak Kerja,Berkabut,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,0.7341753634662893,0.7058489965692971,0.6709511568123393,0.2397591859176167
157,2011-06-06,Musim Semi,2011,Juni,Tak Libur,Senin,Kerja,Sedikit Berawan,0.678333,0.621858,0.6,0.121896,673,3875,4548,0.7715568361617401,0.7124830538820918,0.6169665809768637,0.20513334843764208
158,2011-06-07,Musim Semi,2011,Juni,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.7075,0.65595,0.597917,0.187808,763,4070,4833,0.8079003499653474,0.7572334064558539,0.6148246786632391,0.34101440344955475
159,2011-06-08,Musim Semi,2011,Juni,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.775833,0.727279,0.622083,0.136817,676,3725,4401,0.8930466224219555,0.8508623486925629,0.6396740359897173,0.2358937747914585
160,2011-06-09,Musim Semi,2011,Juni,Tak Libur,Kamis,Kerja,Berkabut,0.808333,0.757579,0.568333,0.149883,563,3352,3915,0.9335432178420273,0.8906351893292224,0.5844041131105397,0.2628300210711291
161,2011-06-10,Musim Semi,2011,Juni,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.755,0.703292,0.605,0.140554,815,3771,4586,0.8670876817331447,0.8193761728393765,0.6221079691516709,0.2435977968599668
162,2011-06-11,Musim Semi,2011,Juni,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.725,0.678038,0.654583,0.15485,1729,3237,4966,0.8297062090376938,0.7862268884354755,0.673093059125964,0.27306975283839713
163,2011-06-12,Musim Semi,2011,Juni,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,0.789209613617622,0.7406613895239125,0.769066323907455,0.2910403068579815
164,2011-06-13,Musim Semi,2011,Juni,Tak Libur,Senin,Kerja,Sedikit Berawan,0.635,0.601654,0.494583,0.30535,863,4157,5020,0.7175617909513411,0.6859625762509673,0.5085686375321337,0.5833334192313585
165,2011-06-14,Musim Semi,2011,Juni,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.604167,0.591546,0.507083,0.269283,727,4164,4891,0.6791423593640464,0.6726944616253782,0.5214221079691516,0.5089794015848805
166,2011-06-15,Musim Semi,2011,Juni,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.626667,0.587754,0.471667,0.167912,769,4411,5180,0.7071784638856345,0.6677169496882753,0.4850046272493573,0.29999775290766534
167,2011-06-16,Musim Semi,2011,Juni,Tak Libur,Kamis,Kerja,Berkabut,0.628333,0.595346,0.688333,0.206471,545,3222,3767,0.7092543816693221,0.677682474642517,0.7077974293059125,0.37948915963488256
168,2011-06-17,Musim Semi,2011,Juni,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.649167,0.600383,0.735833,0.143029,863,3981,4844,0.7352145684072229,0.6842942171602349,0.7566406169665809,0.2487001395464955
169,2011-06-18,Musim Semi,2011,Juni,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,0.7944019001750201,0.7414870369417494,0.6893748071979434,0.20000420556730528
170,2011-06-19,Musim Semi,2011,Juni,Tak Libur,Minggu,Tak Kerja,Berkabut,0.699167,0.645846,0.666667,0.102,1639,3105,4744,0.797517022899641,0.7439705423702827,0.685518766066838,0.16411669789575264
171,2011-06-20,Musim Semi,2011,Juni,Tak Libur,Senin,Kerja,Berkabut,0.635,0.595346,0.74625,0.155475,699,3311,4010,0.7175617909513411,0.677682474642517,0.7673521850899743,0.2743582232137832
172,2011-06-21,Musim Panas,2011,Juni,Tak Libur,Selasa,Kerja,Berkabut,0.680833,0.637646,0.770417,0.171025,774,4061,4835,0.7746719588863611,0.733206935333299,0.7922025706940874,0.3064153661533882
173,2011-06-22,Musim Panas,2011,Juni,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.733333,0.693829,0.7075,0.172262,661,3846,4507,0.8400895361034002,0.8069547077916963,0.7275064267352185,0.3089655067203523
174,2011-06-23,Musim Panas,2011,Juni,Tak Libur,Kamis,Kerja,Berkabut,0.728333,0.693833,0.703333,0.238804,746,4044,4790,0.8338592906541583,0.8069599583317144,0.7232215938303341,0.4461453398706541
175,2011-06-24,Musim Panas,2011,Juni,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.724167,0.656583,0.573333,0.222025,969,4022,4991,0.8286682501458501,0.7580643044137089,0.589545501285347,0.41155454878489
176,2011-06-25,Musim Panas,2011,Juni,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.695,0.643313,0.483333,0.209571,1782,3420,5202,0.7923247363422428,0.7406456379038584,0.49700051413881746,0.3858799726967974
177,2011-06-26,Musim Panas,2011,Juni,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,0.7736339999945174,0.7331846205382223,0.5278488431876607,0.1487237030927206
178,2011-06-27,Musim Panas,2011,Juni,Tak Libur,Senin,Kerja,Berkabut,0.6825,0.637004,0.658333,0.107588,854,3854,4708,0.7767491227191383,0.7323642236604034,0.6769491002570693,0.17563665382800425
179,2011-06-28,Musim Panas,2011,Juni,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.744167,0.692558,0.634167,0.144283,732,3916,4648,0.8535892319428173,0.8052863487009638,0.6520997429305913,0.2512853265076701
180,2011-06-29,Musim Panas,2011,Juni,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.728333,0.654688,0.497917,0.261821,848,4377,5225,0.8338592906541583,0.7555768610801621,0.5119969151670951,0.49359609607907134
181,2011-06-30,Musim Panas,2011,Juni,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,0.7944019001750201,0.7323694742004214,0.44644421593830336,0.33586876815841304
182,2011-07-01,Musim Panas,2011,Juli,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,0.8265910863130729,0.7522611450587692,0.4074550128534704,0.1653701218769282
183,2011-07-02,Musim Panas,2011,Juli,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,0.846319781552642,0.772142314837081,0.4571547557840617,0.19104469796502083
184,2011-07-03,Musim Panas,2011,Juli,Tak Libur,Minggu,Tak Kerja,Berkabut,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,0.8193228819719874,0.7738054233877953,0.7017994858611825,0.42564113770491063
185,2011-07-04,Musim Panas,2011,Juli,Libur,Senin,Tak Kerja,Berkabut,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,0.8317833728704709,0.7696601220435522,0.6559557840616966,0.12181198928899731
186,2011-07-05,Musim Panas,2011,Juli,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,0.8567043546674382,0.8102481090180125,0.6071125964010282,0.2141258408815364
187,2011-07-06,Musim Panas,2011,Juli,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.72,0.685633,0.743333,0.149883,784,3845,4629,0.8234759635884519,0.7961963512947307,0.7643526992287918,0.2628300210711291
188,2011-07-07,Musim Panas,2011,Juli,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.75,0.686871,0.65125,0.1592,754,3838,4592,0.8608574362839028,0.7978213934303142,0.6696658097686375,0.2820375066510841
189,2011-07-08,Musim Panas,2011,Juli,Tak Libur,Jumat,Kerja,Berkabut,0.709167,0.670483,0.757917,0.225129,692,3348,4040,0.8099775137981245,0.7763099309764009,0.7793491002570693,0.41795360805720727
190,2011-07-09,Musim Panas,2011,Juli,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,0.8400895361034002,0.7680075145728738,0.6263928020565552,0.29999775290766534
191,2011-07-10,Musim Panas,2011,Juli,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,0.857742313559282,0.8019614442345394,0.5946868894601542,0.3320734498206758
192,2011-07-11,Musim Panas,2011,Juli,Tak Libur,Senin,Kerja,Sedikit Berawan,0.7625,0.729804,0.635833,0.282337,723,3363,4086,0.8764330499070073,0.8541767520789513,0.6538128534704369,0.5358909092333437
193,2011-07-12,Musim Panas,2011,Juli,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.794167,0.739275,0.559167,0.200254,662,3596,4258,0.9158916864352354,0.8666087182066675,0.5749789203084832,0.3666724871168424
194,2011-07-13,Musim Panas,2011,Juli,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.746667,0.689404,0.631667,0.146133,748,3594,4342,0.8567043546674382,0.8011462978967386,0.6495290488431876,0.2550991988188129
195,2011-07-14,Musim Panas,2011,Juli,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.680833,0.635104,0.47625,0.240667,888,4196,5084,0.7746719588863611,0.729870217151834,0.48971722365038556,0.4499860123656048
196,2011-07-15,Musim Panas,2011,Juli,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,0.7528660998140146,0.7157817056484259,0.6079691516709512,0.33075817926148177
197,2011-07-16,Musim Panas,2011,Juli,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.686667,0.638263,0.585,0.208342,2418,3505,5923,0.7819414092765364,0.7340168311310817,0.6015424164524421,0.3833463245506382
198,2011-07-17,Musim Panas,2011,Juli,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,0.8224380046966082,0.7754567182234692,0.6212514138817481,0.45898675101990166
199,2011-07-18,Musim Panas,2011,Juli,Tak Libur,Senin,Kerja,Sedikit Berawan,0.746667,0.703925,0.65125,0.215804,841,3617,4458,0.8567043546674382,0.8202070707972314,0.6696658097686375,0.3987296300564474
200,2011-07-19,Musim Panas,2011,Juli,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.776667,0.747479,0.650417,0.1306,752,3789,4541,0.8940858273628891,0.8773775757836693,0.6688092544987146,0.22307710227341837
201,2011-07-20,Musim Panas,2011,Juli,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.768333,0.74685,0.707083,0.113817,644,3688,4332,0.8837012542480929,0.8765519283658323,0.7270776349614396,0.1884780649772518
202,2011-07-21,Musim Panas,2011,Juli,Tak Libur,Kamis,Kerja,Berkabut,0.815,0.826371,0.69125,0.222021,632,3152,3784,0.9418506271240463,0.9809339765594889,0.7107969151670951,0.4115463025744875
203,2011-07-22,Musim Panas,2011,Juli,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.848333,0.840896,0.580417,0.1331,562,2825,3387,0.983385181435962,0.9999999999999998,0.5968298200514138,0.2282309837749626
204,2011-07-23,Musim Panas,2011,Juli,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.849167,0.804287,0.5,0.131221,987,2298,3285,0.9844243863768956,0.9519457451198854,0.5141388174807198,0.22435732643840195
205,2011-07-24,Musim Panas,2011,Juli,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.83,0.794829,0.550833,0.169171,1050,2556,3606,0.9605413634717719,0.9395308432472278,0.5664092544987146,0.302593247631843
206,2011-07-25,Musim Panas,2011,Juli,Tak Libur,Senin,Kerja,Sedikit Berawan,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,0.8525500270018838,0.8425651828290539,0.7784915167095114,0.14104441965541972
207,2011-07-26,Musim Panas,2011,Juli,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.771667,0.696979,0.540833,0.200258,750,3840,4590,0.8878555819136473,0.8110895080559035,0.5561264781491002,0.3666807333272449
208,2011-07-27,Musim Panas,2011,Juli,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.775,0.690667,0.402917,0.183463,755,3901,4656,0.8920086635301119,0.802804155907435,0.4143105398457584,0.3320569573998709
209,2011-07-28,Musim Panas,2011,Juli,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.779167,0.7399,0.583333,0.178479,606,3784,4390,0.8972009500875101,0.8674291150844864,0.5998282776349614,0.32178217923839236
210,2011-07-29,Musim Panas,2011,Juli,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.838333,0.785967,0.5425,0.174138,670,3176,3846,0.9709246905374782,0.9278982718372584,0.5578406169665809,0.312832979399111
211,2011-07-30,Musim Panas,2011,Juli,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,0.9283521773337191,0.8525136435282368,0.47900565552699226,0.3012862232830514
212,2011-07-31,Musim Panas,2011,Juli,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,0.9304280951174064,0.8541662509989152,0.4944298200514139,0.2936090013983511
213,2011-08-01,Musim Panas,2011,Agustus,Tak Libur,Senin,Kerja,Sedikit Berawan,0.771667,0.703292,0.550833,0.156717,729,3537,4266,0.8878555819136473,0.8193761728393765,0.5664092544987146,0.2769186715437504
214,2011-08-02,Musim Panas,2011,Agustus,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.783333,0.707071,0.49125,0.20585,801,4044,4845,0.9023919905958182,0.8243366205214205,0.5051413881748071,0.378208935469899
215,2011-08-03,Musim Panas,2011,Agustus,Tak Libur,Rabu,Kerja,Berkabut,0.731667,0.679937,0.6575,0.135583,467,3107,3574,0.8380136183197128,0.7887195823090404,0.6760925449871464,0.23334981888229628
216,2011-08-04,Musim Panas,2011,Agustus,Tak Libur,Kamis,Kerja,Berkabut,0.71,0.664788,0.7575,0.19715,799,3777,4576,0.8110154726899682,0.7688344746257152,0.7789203084832904,0.36027342784452515
217,2011-08-05,Musim Panas,2011,Agustus,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,0.812053431581812,0.7580433022536367,0.6486714652956298,0.3345988517564325
218,2011-08-06,Musim Panas,2011,Agustus,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.716667,0.676154,0.755,0.22825,1521,2773,4294,0.8193228819719874,0.7837538840869783,0.7763496143958869,0.42438771372373507
219,2011-08-07,Musim Panas,2011,Agustus,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,0.8515120681100402,0.835127792893499,0.7742077120822621,0.369214381473404
220,2011-08-08,Musim Panas,2011,Agustus,Tak Libur,Senin,Kerja,Sedikit Berawan,0.765,0.703283,0.592083,0.192175,846,3480,4326,0.8795481726316283,0.8193643591243358,0.608825706940874,0.35001720365645217
221,2011-08-09,Musim Panas,2011,Agustus,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.775,0.724121,0.570417,0.151121,907,3695,4602,0.8920086635301119,0.8467170473483197,0.5865470437017994,0.2653822231906938
222,2011-08-10,Musim Panas,2011,Agustus,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.766667,0.684983,0.424167,0.200258,884,3896,4780,0.8816253364644054,0.7953431385417989,0.4361614395886889,0.3666807333272449
223,2011-08-11,Musim Panas,2011,Agustus,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.7175,0.651521,0.42375,0.164796,812,3980,4792,0.8203608408638311,0.7514197460208781,0.43573264781491,0.29357395500414063
224,2011-08-12,Musim Panas,2011,Agustus,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.708333,0.654042,0.415,0.125621,1051,3854,4905,0.8089383088571911,0.7547288988672484,0.42673521850899737,0.21281263187494293
225,2011-08-13,Musim Panas,2011,Agustus,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,0.7809022043356029,0.7439862939903369,0.7502138817480719,0.38976187624376046
226,2011-08-14,Musim Panas,2011,Agustus,Tak Libur,Minggu,Tak Kerja,Berkabut,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,0.7694809183780528,0.7158040204435026,0.8406169665809768,0.41280797276606557
227,2011-08-15,Musim Panas,2011,Agustus,Tak Libur,Senin,Kerja,Sedikit Berawan,0.665833,0.616167,0.712083,0.208954,775,3563,4338,0.7559812225386356,0.7050128480714241,0.7322190231362468,0.38460799474221624
228,2011-08-16,Musim Panas,2011,Agustus,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.700833,0.645837,0.578333,0.236329,721,4004,4725,0.7995929406833284,0.743958728655242,0.5946868894601542,0.4410429971841254
229,2011-08-17,Musim Panas,2011,Agustus,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.723333,0.666671,0.575417,0.143667,668,4026,4694,0.8276290452049165,0.7713061663392079,0.5916884318766066,0.2500154101056896
230,2011-08-18,Musim Panas,2011,Agustus,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.711667,0.662258,0.654583,0.233208,639,3166,3805,0.8130926365227455,0.7655135080643043,0.673093059125964,0.4346088915175975
231,2011-08-19,Musim Panas,2011,Agustus,Tak Libur,Jumat,Kerja,Berkabut,0.685,0.633221,0.722917,0.139308,797,3356,4153,0.7798642454437593,0.7273985254383413,0.743359383033419,0.24102910231959712
232,2011-08-20,Musim Panas,2011,Agustus,Tak Libur,Sabtu,Tak Kerja,Sedikit Berawan,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,0.7954398590668638,0.7481053426344899,0.6932308483290488,0.16920254816147648
233,2011-08-21,Musim Panas,2011,Agustus,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.710833,0.675525,0.77,0.248754,1249,2624,3873,0.812053431581812,0.7829282366691414,0.7917737789203084,0.4666577882468
234,2011-08-22,Musim Panas,2011,Agustus,Tak Libur,Senin,Kerja,Sedikit Berawan,0.691667,0.638254,0.47,0.27675,833,3925,4758,0.7881716547257783,0.7340050174160412,0.48329048843187655,0.5243730148536927
235,2011-08-23,Musim Panas,2011,Agustus,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,0.7248299952924265,0.691755234525871,0.46829511568123394,0.25639797695720196
236,2011-08-24,Musim Panas,2011,Agustus,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.673333,0.630692,0.605,0.253108,949,4181,5130,0.7653265907124983,0.724078871511935,0.6221079691516709,0.4756337882698894
237,2011-08-25,Musim Panas,2011,Agustus,Tak Libur,Kamis,Kerja,Berkabut,0.684167,0.645854,0.771667,0.210833,435,3107,3542,0.7788262865519154,0.7439810434503188,0.7934879177377892,0.3884816520787769
238,2011-08-26,Musim Panas,2011,Agustus,Tak Libur,Jumat,Kerja,Sedikit Berawan,0.7,0.659733,0.76125,0.0839625,768,3893,4661,0.7985549817914847,0.7621991046779161,0.7827763496143958,0.1269314428621112
239,2011-08-27,Musim Panas,2011,Agustus,Tak Libur,Sabtu,Tak Kerja,Berkabut,0.68,0.635556,0.85,0.375617,226,889,1115,0.7736339999945174,0.7304635281738726,0.8740359897172236,0.7281925358189612
240,2011-08-28,Musim Panas,2011,Agustus,Tak Libur,Minggu,Tak Kerja,Sedikit Berawan,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,0.8073508423167243,0.7467441401348127,0.5776503856041131,0.5819088863843317
241,2011-08-29,Musim Panas,2011,Agustus,Tak Libur,Senin,Kerja,Sedikit Berawan,0.636667,0.607958,0.554583,0.159825,729,3905,4634,0.7196389547841182,0.6942374273193997,0.5702652956298201,0.2833259770264701
242,2011-08-30,Musim Panas,2011,Agustus,Tak Libur,Selasa,Kerja,Sedikit Berawan,0.639167,0.594704,0.548333,0.125008,775,4429,5204,0.7227540775087392,0.6768397629696213,0.563838560411311,0.21154890013076433
243,2011-08-31,Musim Panas,2011,Agustus,Tak Libur,Rabu,Kerja,Sedikit Berawan,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,0.7445599365810855,0.6983892918386656,0.6148246786632391,0.12563431396580255
244,2011-09-01,Musim Panas,2011,September,Tak Libur,Kamis,Kerja,Sedikit Berawan,0.655,0.614921,0.639167,0.141796,783,4332,5115,0.7424827727483083,0.7033773048558044,0.6572411311053985,0.24615824518993396
